word,lemma,part_of_speech,cefr_level,category,definition,persian_meaning,example,source,frequency_rank
conduct research,conduct research,collocation,B2,collocations,To do systematic study.,تحقیق انجام دادن,She conducts research on cancer.,starter_curated,99
raise a question,raise a question,collocation,B2,collocations,To bring up an issue.,سؤالی مطرح کردن,The article raises a question about ethics.,starter_curated,100
pose a problem,pose a problem,collocation,B2,collocations,To create a difficulty.,مشکل ایجاد کردن,Funding poses a problem for the lab.,starter_curated,101
reach a conclusion,reach a conclusion,collocation,B2,collocations,To decide after analysis.,به نتیجه رسیدن,We reached a conclusion after review.,starter_curated,102
draw attention,draw attention,collocation,B2,collocations,To make people notice.,توجه جلب کردن,The headline drew attention to the issue.,starter_curated,103
meet requirements,meet requirements,collocation,B1,collocations,To satisfy conditions.,برآورده کردن الزامات,Your essay must meet requirements.,starter_curated,104
submit an application,submit an application,collocation,B1,collocations,To send a formal request.,ارسال درخواست,Submit an application before the deadline.,starter_curated,105
gain experience,gain experience,collocation,B1,collocations,To acquire practical knowledge.,تجربه کسب کردن,Internships help you gain experience.,starter_curated,106
play a role,play a role,collocation,B1,collocations,To have an effect or part.,نقش داشتن,Sleep plays a role in memory.,starter_curated,107
make progress,make progress,collocation,B1,collocations,To move forward.,پیشرفت کردن,You are making progress in writing.,starter_curated,108
